Date,AMD,BAC,BAESY,DRS,INTC,JPM,RTX,TSM,WFC
2020-07-29,76.08999633789062,25.270000457763672,24.850000381469727,6.389999866485596,48.06999969482422,99.68000030517578,59.400001525878906,82.66999816894531,25.780000686645508
2020-07-30,78.19999694824219,24.84000015258789,26.520000457763672,6.369999885559082,47.9900016784668,97.0199966430664,57.459999084472656,79.93000030517578,24.649999618530273
2020-07-31,77.43000030517578,24.8799991607666,25.739999771118164,6.320000171661377,47.72999954223633,96.63999938964844,56.68000030517578,78.88999938964844,24.260000228881836
2020-08-03,77.66999816894531,24.989999771118164,25.670000076293945,6.5,48.29999923706055,96.0999984741211,57.5099983215332,78.94999694824219,24.290000915527344
2020-08-04,85.04000091552734,25.010000228881836,26.979999542236328,6.429999828338623,49.130001068115234,95.55000305175781,57.5099983215332,80.19000244140625,24.219999313354492
2020-08-05,85.30999755859375,25.389999389648438,27.760000228881836,6.489999771118164,48.91999816894531,97.20999908447266,60.029998779296875,81.62999725341797,24.399999618530273
2020-08-06,86.70999908447266,25.469999313354492,27.489999771118164,6.510000228881836,48.56999969482422,97.23999786376953,59.869998931884766,80.5199966430664,24.239999771118164
2020-08-07,84.8499984741211,26.110000610351562,26.610000610351562,6.460000038146973,48.029998779296875,99.37999725341797,61.22999954223633,80.02999877929688,25.06999969482422
2020-08-10,82.23999786376953,26.559999465942383,27.34000015258789,6.929999828338623,49.220001220703125,100.63999938964844,64.2300033569336,79.87000274658203,24.700000762939453
2020-08-11,76.87999725341797,26.920000076293945,27.649999618530273,7.050000190734863,48.189998626708984,103.81999969482422,64.26000213623047,77.94000244140625,25.31999969482422
2020-08-12,82.61000061035156,26.729999542236328,28.079999923706055,7.260000228881836,49.189998626708984,102.94000244140625,64.29000091552734,79.38999938964844,25.190000534057617
2020-08-13,81.83999633789062,26.350000381469727,27.940000534057617,7.5,48.560001373291016,102.37000274658203,63.29999923706055,78.30000305175781,25.020000457763672
